;freq;nrg_bal;siec;unit;geo\TIME_PERIOD;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
AL;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;AL;1685.582;1672.393;1740.442;1840.737;1897.918;1953.468;1790.583;1961.866;2058.559;1963.484;1883.404;2071.754
;A;FC_IND_E;TOTAL;KTOE;AL;267.587;258.050;228.550;282.307;354.766;379.510;276.800;281.446;372.753;302.114;283.644;398.286
;A;FC_OTH_CP_E;TOTAL;KTOE;AL;145.967;100.258;161.636;173.753;159.469;163.473;157.272;190.984;179.239;196.902;175.590;213.657
;A;FC_OTH_HH_E;TOTAL;KTOE;AL;451.947;423.106;445.281;487.171;489.039;498.280;509.086;580.003;556.243;532.287;486.135;492.580
;A;FC_TRA_E;TOTAL;KTOE;AL;636.304;689.281;745.409;754.562;732.789;768.010;737.022;804.074;833.978;829.298;832.543;831.899
AT;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;AT;25366.611;24903.452;24915.586;24311.062;25554.017;24633.736;24594.842;25659.735;24739.792;25306.309;25708.150;26212.918
;A;FC_IND_E;TOTAL;KTOE;AT;7268.172;7382.006;7299.864;7126.845;7493.724;7537.945;7504.294;7769.701;7755.664;7602.740;7810.002;8052.275
;A;FC_OTH_CP_E;TOTAL;KTOE;AT;3028.065;2703.815;2970.805;2637.072;2759.690;2570.369;2512.620;2397.409;2364.381;2418.361;2347.229;2386.569
;A;FC_OTH_HH_E;TOTAL;KTOE;AT;6299.961;5922.831;6016.250;6139.835;6631.443;6152.510;6288.424;6763.764;5946.364;6341.425;6519.569;6594.461
;A;FC_TRA_E;TOTAL;KTOE;AT;8275.004;8398.998;8128.274;7910.758;8162.129;7873.388;7794.607;8197.601;8170.653;8428.995;8510.795;8656.768
BA;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;3103.624;3316.907;3543.934;3498.190
;A;FC_IND_E;TOTAL;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;717.286;756.627;754.104;829.078
;A;FC_OTH_CP_E;TOTAL;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;163.649;357.703;435.411;355.674
;A;FC_OTH_HH_E;TOTAL;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;980.816;1113.030;1139.361;1045.706
;A;FC_TRA_E;TOTAL;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;988.905;1030.976;1196.912;1248.922
BE;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;BE;33938.172;32854.962;33957.746;32956.989;35025.296;32259.801;32620.978;33875.950;31574.337;33108.293;33458.369;32887.979
;A;FC_IND_E;TOTAL;KTOE;BE;10905.532;10692.860;10280.096;9988.049;10760.367;10330.992;10461.068;10647.043;10605.987;10578.083;10688.319;10494.617
;A;FC_OTH_CP_E;TOTAL;KTOE;BE;4290.811;3886.042;4671.579;4541.047;4943.736;4398.899;4508.188;4900.787;4230.196;4588.814;4651.183;4595.753
;A;FC_OTH_HH_E;TOTAL;KTOE;BE;8987.051;8319.442;8990.051;8537.230;9527.492;7986.877;8360.865;9070.579;7469.054;8262.556;8293.260;8108.510
;A;FC_TRA_E;TOTAL;KTOE;BE;8798.025;9067.166;9084.942;8939.284;8970.840;8819.622;8543.919;8393.147;8518.888;8919.179;9007.404;8856.394
BG;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;BG;9953.137;9824.988;9625.120;8475.869;8710.128;9130.172;9118.436;8670.951;8884.159;9389.585;9517.547;9738.327
;A;FC_IND_E;TOTAL;KTOE;BG;3680.955;3811.005;3457.702;2446.271;2560.844;2701.602;2581.836;2585.916;2620.330;2713.342;2641.470;2721.307
;A;FC_OTH_CP_E;TOTAL;KTOE;BG;963.008;918.492;982.114;969.771;1026.534;1089.644;1069.506;1029.630;991.857;1085.994;1171.678;1199.546
;A;FC_OTH_HH_E;TOTAL;KTOE;BG;2158.268;2061.670;2113.463;2114.012;2243.337;2374.281;2352.559;2241.036;2164.991;2192.911;2252.111;2318.715
;A;FC_TRA_E;TOTAL;KTOE;BG;2855.794;2767.058;2884.268;2761.502;2694.750;2759.922;2914.389;2620.338;2916.483;3211.582;3267.027;3325.230
CY;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;CY;1549.234;1625.838;1670.495;1655.552;1641.926;1609.426;1486.580;1367.072;1373.469;1414.653;1481.494;1536.481
;A;FC_IND_E;TOTAL;KTOE;CY;286.120;294.967;297.132;260.771;235.606;208.703;171.792;184.465;223.939;209.944;213.745;229.533
