freq;nrg_bal;siec;unit;geo\TIME_PERIOD;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
A;FC_E;C0000X0350-0370;KTOE;AL;12.695;12.695;16.457;100.500;110.900;138.974;77.225;67.005;85.149;95.081;50.729;115.975
A;FC_E;C0350-0370;KTOE;AL;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;E7000;KTOE;AL;298.968;315.563;397.077;462.339;487.790;486.414;495.271;592.777;560.877;507.051;472.829;512.164
A;FC_E;G3000;KTOE;AL;0;1.806;0;817;709;1.548;3.332;5.589;6.836;11.156;10.035;12.500
A;FC_E;H8000;KTOE;AL;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;N900H;KTOE;AL;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z
A;FC_E;O4000XBIO;KTOE;AL;1141.593;1121.038;1105.331;1060.424;1086.805;1106.841;996.451;1083.110;1174.283;1103.225;1091.773;1176.753
A;FC_E;P1000;KTOE;AL;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;RA000;KTOE;AL;232.325;221.291;221.577;216.657;211.713;219.690;218.305;213.385;231.414;246.971;258.039;254.363
A;FC_E;S2000;KTOE;AL;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;TOTAL;KTOE;AL;1685.582;1672.393;1740.442;1840.737;1897.918;1953.468;1790.583;1961.866;2058.559;1963.484;1883.404;2071.754
A;FC_E;W6100_6220;KTOE;AL;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;C0000X0350-0370;KTOE;AT;506.139;477.762;449.297;384.861;357.333;335.027;333.346;337.850;331.206;325.670;306.274;321.041
A;FC_E;C0350-0370;KTOE;AT;82.601;69.990;81.712;88.361;100.339;96.831;90.258;95.452;82.777;80.561;99.954;106.795
A;FC_E;E7000;KTOE;AT;5041.561;5083.797;5067.329;4917.855;5144.815;5141.494;5211.668;5261.252;5175.636;5252.168;5334.355;5398.780
A;FC_E;G3000;KTOE;AT;4572.002;4362.433;4497.017;4399.795;4737.923;4516.807;4538.877;4714.352;4363.185;4549.669;4626.447;4784.053
A;FC_E;H8000;KTOE;AT;1244.800;1248.398;1377.332;1438.558;1710.804;1638.717;1724.554;1791.379;1603.143;1679.503;1780.805;1806.948
A;FC_E;N900H;KTOE;AT;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z
A;FC_E;O4000XBIO;KTOE;AT;10705.515;10302.265;10029.229;9481.478;9675.849;9143.825;8905.215;9216.255;8919.241;9096.577;9291.693;9506.262
A;FC_E;P1000;KTOE;AT;210;198;198;198;210;210;210;210;210;210;0;0
A;FC_E;RA000;KTOE;AT;2977.716;3135.753;3190.852;3383.738;3606.481;3497.845;3556.215;3990.524;3996.534;4042.005;3979.599;3992.935
A;FC_E;S2000;KTOE;AT;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;TOTAL;KTOE;AT;25366.611;24903.452;24915.586;24311.062;25554.017;24633.736;24594.842;25659.735;24739.792;25306.309;25708.150;26212.918
A;FC_E;W6100_6220;KTOE;AT;236.067;222.856;222.620;216.218;220.262;262.980;234.498;252.460;267.862;279.946;289.022;296.104
A;FC_E;C0000X0350-0370;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;270.200;281.006;274.975;264.879
A;FC_E;C0350-0370;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;104.352;105.379;104.615;100.244
A;FC_E;E7000;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;910.318;917.885;953.396;980.052
A;FC_E;G3000;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;111.113;131.814;135.877;149.033
A;FC_E;H8000;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;110.156;124.152;126.111;127.257
A;FC_E;N900H;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;: z;: z;: z;: z
A;FC_E;O4000XBIO;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;1201.431;1255.954;1451.213;1475.349
A;FC_E;P1000;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;0;0;0;0
A;FC_E;RA000;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;396.054;500.717;497.746;401.377
A;FC_E;S2000;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;0;0;0;0
A;FC_E;TOTAL;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;3103.624;3316.907;3543.934;3498.190
