;freq;unit;geo\TIME_PERIOD;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
AL;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;AL;2.831;3.003;2.842;3.063;2.945;3.091;3.376;3.797;3.922;3.995;4.180;4.109;4.625;3.961;4.048;4.429;4.445;4.385
;A;PPS_KGOE;AL;5.658;6.059;5.864;6.314;6.205;6.670;7.446;8.662;8.956;9.040;9.973;9.964;11.405;9.424;10.093;11.372;10.867;10.907
AT;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;AT;8.691;8.341;8.430;8.086;8.152;8.100;8.345;8.819;8.881;9.007;8.609;9.121;9.239;9.028;9.384;9.318;9.432;9.486
;A;PPS_KGOE;AT;7.055;6.726;6.976;6.776;7.014;7.152;7.491;7.983;7.992;8.051;7.822;8.429;8.919;8.787;9.345;9.665;9.720;9.716
BA;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;2.240;2.241;2.112;2.183
;A;PPS_KGOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;: ;4.889;5.007;4.669;4.812
BE;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;BE;4.800;4.886;5.016;4.815;4.958;5.102;5.231;5.415;5.289;5.563;5.309;5.792;6.124;5.935;6.391;6.455;6.142;6.190
;A;PPS_KGOE;BE;3.881;4.031;4.253;4.094;4.230;4.452;4.636;4.848;4.696;4.886;4.856;5.357;5.855;5.684;6.232;6.483;6.128;6.190
BG;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;BG;1.305;1.284;1.398;1.439;1.574;1.593;1.653;1.809;1.941;2.127;2.128;2.028;2.115;2.288;2.225;2.203;2.339;2.346
;A;PPS_KGOE;BG;2.441;2.436;2.710;2.806;3.121;3.291;3.423;3.901;4.208;4.515;4.704;4.524;4.856;5.165;5.209;5.236;5.514;5.515
CY;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;CY;5.349;5.509;5.792;5.518;6.329;6.010;6.067;6.172;6.132;6.229;6.562;6.670;6.895;7.281;7.074;7.044;6.821;6.940
;A;PPS_KGOE;CY;4.953;5.279;5.515;5.271;6.219;6.146;6.338;6.837;6.830;6.812;7.172;7.334;7.634;7.963;7.722;7.942;7.613;7.796
CZ;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;CZ;2.779;2.786;2.800;2.772;2.835;3.051;3.188;3.374;3.531;3.578;3.437;3.643;3.641;3.603;3.834;4.022;4.161;4.193
;A;PPS_KGOE;CZ;3.525;3.675;3.717;3.746;3.903;4.184;4.329;4.774;5.012;5.120;4.864;5.208;5.309;5.388;5.934;6.305;6.458;6.548
DE;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;DE;6.844;6.766;6.915;6.870;6.906;6.985;7.042;7.647;7.664;7.718;7.649;8.349;8.348;8.213;8.711;8.803;8.917;9.038
;A;PPS_KGOE;DE;5.706;5.742;5.990;6.057;6.288;6.450;6.535;7.274;7.201;7.184;7.270;8.071;8.225;8.149;8.892;9.233;9.290;9.456
DK;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;DK;10.832;10.728;11.037;10.493;11.145;11.684;11.239;11.552;11.842;12.061;11.525;12.530;13.150;13.166;13.987;14.293;14.340;14.485
;A;PPS_KGOE;DK;6.450;6.473;6.845;6.450;7.134;7.638;7.546;8.032;8.455;8.563;8.652;9.489;10.081;10.180;11.003;11.550;11.412;11.805
EA19;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;EA19;6.797;6.769;6.823;6.712;6.761;6.846;7.028;7.338;7.392;7.487;7.396;7.778;7.803;7.860;8.268;8.313;8.420;8.483
;A;PPS_KGOE;EA19;5.711;5.795;5.979;5.891;6.046;6.298;6.619;7.104;7.129;7.117;7.137;7.594;7.793;7.915;8.470;8.767;8.803;8.884
EE;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;EE;2.203;2.250;2.482;2.420;2.506;2.785;3.089;2.972;2.900;2.842;2.506;2.707;2.803;2.573;2.831;3.090;2.918;3.155
;A;PPS_KGOE;EE;2.383;2.464;2.834;2.847;3.034;3.526;4.005;4.043;4.116;4.109;3.745;4.203;4.414;4.069;4.586;5.055;4.724;5.124
EL;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;EL;6.058;6.158;6.356;6.579;6.799;6.809;7.121;7.326;7.277;7.297;7.322;6.818;6.496;7.088;7.236;7.204;7.333;7.100
;A;PPS_KGOE;EL;5.896;6.156;6.550;6.696;7.019;7.077;7.631;7.795;7.867;7.828;7.761;7.270;7.201;8.088;8.402;8.528;8.502;8.231
ES;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;ES;6.649;6.711;6.717;6.703;6.620;6.706;6.978;7.112;7.424;7.757;7.785;7.732;7.537;7.956;8.186;8.201;8.372;8.271
;A;PPS_KGOE;ES;5.864;6.040;6.271;6.273;6.367;6.721;7.399;7.797;8.050;8.198;8.195;8.171;8.204;8.700;9.133;9.344;9.391;9.318
EU28;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;EU28;6.300;6.299;6.386;6.323;6.410;6.514;6.686;6.992;7.056;7.191;7.065;7.436;7.488;7.600;8.023;8.089;8.195;8.265
;A;PPS_KGOE;EU28;5.446;5.545;5.749;5.702;5.920;6.154;6.465;6.950;7.022;7.048;7.065;7.521;7.758;7.917;8.498;8.823;8.836;8.946
FI;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;FI;4.742;4.757;4.593;4.448;4.585;5.100;4.870;5.207;5.466;5.375;5.065;5.395;5.532;5.579;5.436;5.720;5.653;5.771
;A;PPS_KGOE;FI;3.640;3.669;3.554;3.390;3.611;4.050;3.903;4.353;4.632;4.545;4.304;4.649;4.861;4.903;4.865;5.303;5.129;5.259
FR;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;FR;6.806;6.731;6.793;6.686;6.761;6.846;7.114;7.353;7.341;7.416;7.336;7.637;7.658;7.673;8.062;8.023;8.255;8.425
;A;PPS_KGOE;FR;5.380;5.488;5.660;5.423;5.528;5.854;6.193;6.580;6.504;6.469;6.568;6.913;7.001;7.148;7.617;7.806;7.927;8.099
HR;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;HR;4.170;4.152;4.248;4.195;4.355;4.460;4.701;4.762;4.979;4.792;4.771;4.855;5.045;5.120;5.368;5.270;5.408;5.376
;A;PPS_KGOE;HR;4.929;4.954;5.179;5.113;5.461;5.693;6.349;6.752;7.148;6.860;6.871;7.233;7.829;7.978;8.470;8.556;8.691;8.631
HU;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;HU;3.206;3.253;3.402;3.461;3.623;3.504;3.680;3.774;3.869;3.800;3.716;3.855;3.990;4.218;4.414;4.320;4.353;4.347
;A;PPS_KGOE;HU;4.212;4.532;4.919;5.046;5.258;5.134;5.408;5.711;6.038;6.093;6.197;6.593;6.990;7.433;7.790;7.734;7.493;7.460
IE;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;IE;8.722;8.714;9.093;9.764;10.175;10.527;10.988;11.177;10.821;10.774;11.045;12.478;12.356;13.058;14.143;16.811;16.785;18.280
;A;PPS_KGOE;IE;6.928;7.135;7.652;8.245;8.741;9.186;9.984;10.456;9.813;9.400;9.950;11.138;11.407;12.047;12.937;17.036;16.317;17.610
IS;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;IS;2.326;2.516;2.454;2.508;2.718;2.843;2.431;2.259;2.002;1.817;1.844;1.754;1.818;1.823;1.862;2.022;2.236;2.232
;A;PPS_KGOE;IS;2.141;2.393;2.369;2.361;2.601;2.730;2.323;2.122;1.895;1.724;1.719;1.635;1.733;1.724;1.812;2.068;2.255;2.261
IT;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;IT;8.829;8.962;8.915;8.509;8.581;8.503;8.738;8.879;8.901;9.021;8.923;9.291;9.396;9.598;10.167;9.879;10.062;9.895
;A;PPS_KGOE;IT;7.654;7.821;7.885;7.569;7.640;7.724;8.178;8.618;8.776;8.869;8.832;9.375;9.769;9.957;10.651;10.664;11.005;10.825
LT;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;LT;2.511;2.330;2.339;2.484;2.604;2.963;3.226;3.330;3.415;3.167;4.022;4.129;4.248;4.670;4.884;4.830;4.765;4.765
;A;PPS_KGOE;LT;3.555;3.399;3.485;3.771;3.952;4.597;5.070;5.370;5.532;5.013;6.834;7.254;7.665;8.471;8.995;9.033;8.725;8.800
LU;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;LU;8.420;8.185;8.151;7.860;7.333;7.415;7.927;8.756;8.636;8.769;8.648;9.016;9.203;9.812;10.506;11.033;11.261;11.057
;A;PPS_KGOE;LU;5.787;5.555;5.601;5.429;5.276;5.616;6.455;7.169;7.217;7.130;7.149;7.874;8.242;8.798;9.833;10.523;10.609;10.449
LV;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;LV;3.175;3.017;3.244;3.331;3.512;3.759;4.110;4.429;4.416;3.872;3.645;4.121;4.120;4.285;4.385;4.564;4.587;4.695
;A;PPS_KGOE;LV;4.296;4.226;4.624;4.690;4.989;5.434;5.830;6.493;6.825;5.746;5.775;6.691;6.838;7.124;7.470;7.927;7.827;8.084
ME;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;ME;: ;: ;: ;: ;: ;: ;: ;2.633;2.619;3.154;2.768;2.844;2.931;3.264;3.393;3.320;3.563;3.552
;A;PPS_KGOE;ME;: ;: ;: ;: ;: ;: ;4.618;5.524;5.464;6.350;5.725;5.968;6.074;6.816;7.228;7.416;8.187;8.196
MK;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;MK;1.965;1.976;2.041;1.914;2.023;2.000;2.073;2.111;2.276;2.441;2.467;2.330;2.410;2.678;2.853;3.020;3.060;2.994
;A;PPS_KGOE;MK;4.048;4.110;4.340;4.067;4.466;4.649;4.944;5.076;5.613;6.097;6.200;5.814;6.178;6.935;7.563;8.136;8.316;8.142
MT;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;MT;3.675;3.360;3.546;3.128;2.992;3.746;3.599;3.511;3.460;3.144;2.764;2.945;3.170;3.495;3.709;3.759;3.689;3.309
;A;PPS_KGOE;MT;4.260;3.893;4.228;3.838;3.768;4.793;4.612;4.634;4.487;4.046;3.694;3.955;4.315;4.735;5.088;5.273;5.141;4.672
NL;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;NL;6.106;6.040;6.005;5.893;5.880;6.009;6.193;6.419;6.643;6.626;6.391;6.799;6.802;6.954;7.397;7.531;7.567;7.755
;A;PPS_KGOE;NL;4.865;4.888;5.011;4.825;4.956;5.254;5.560;5.937;6.121;5.886;5.726;6.147;6.338;6.589;6.958;7.268;7.099;7.319
NO;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;NO;10.508;10.090;11.095;10.411;11.024;11.065;11.245;11.363;9.877;9.901;9.592;11.183;10.546;10.041;11.791;11.759;12.618;11.841
;A;PPS_KGOE;NO;5.515;5.282;5.721;5.365;6.046;6.723;7.417;7.567;7.021;6.264;6.420;7.937;7.789;7.398;8.512;7.857;7.818;7.528
PL;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;PL;2.751;2.766;2.855;2.882;3.020;3.086;3.112;3.345;3.447;3.696;3.555;3.733;3.932;3.967;4.264;4.378;4.301;4.306
;A;PPS_KGOE;PL;3.990;4.090;4.342;4.345;4.700;4.853;4.888;5.417;5.599;5.911;6.021;6.448;6.984;7.000;7.566;7.990;7.613;7.618
PT;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;PT;6.418;6.546;6.338;6.422;6.319;6.229;6.624;6.807;6.970;6.887;7.247;7.264;7.382;7.276;7.443;7.290;7.409;7.284
;A;PPS_KGOE;PT;6.538;6.754;6.728;6.981;6.952;7.246;8.028;8.372;8.511;8.298;8.900;8.772;9.155;9.304;9.700;9.781;9.844;9.560
RO;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;RO;2.256;2.358;2.406;2.364;2.649;2.823;2.939;3.172;3.480;3.748;3.579;3.575;3.731;4.236;4.417;4.552;4.787;4.864
;A;PPS_KGOE;RO;3.129;3.387;3.489;3.462;4.144;4.503;5.051;5.914;6.863;7.401;7.502;7.607;8.200;9.108;9.564;10.097;10.762;10.989
RS;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;RS;1.423;1.370;1.375;1.366;1.366;1.697;1.678;1.836;1.908;2.056;2.021;1.972;2.188;2.200;2.420;2.221;2.203;2.204
;A;PPS_KGOE;RS;2.779;2.703;2.773;2.751;2.814;3.618;3.667;4.114;4.348;4.583;4.575;4.596;5.189;5.150;5.761;5.363;5.189;5.168
SE;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;SE;6.115;5.858;5.878;6.098;6.087;6.370;6.818;7.088;7.088;7.386;7.015;7.207;7.198;7.433;7.671;8.186;8.002;8.142
;A;PPS_KGOE;SE;4.646;4.405;4.438;4.586;4.681;4.868;5.370;5.873;5.885;5.948;5.673;5.932;6.130;6.259;6.499;7.113;6.729;6.908
SI;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;SI;4.325;4.242;4.341;4.413;4.468;4.530;4.772;5.081;4.951;5.071;5.011;5.042;5.089;5.154;5.504;5.682;5.611;5.764
;A;PPS_KGOE;SI;4.879;4.843;5.065;5.150;5.375;5.542;5.809;6.206;6.032;6.036;6.011;6.164;6.439;6.618;7.138;7.539;7.339;7.606
SK;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;SK;2.363;2.340;2.427;2.572;2.750;2.866;3.135;3.627;3.725;3.855;3.815;4.041;4.268;4.278;4.675;4.718;4.841;4.734
;A;PPS_KGOE;SK;3.024;3.123;3.293;3.476;3.782;4.058;4.526;5.281;5.515;5.660;5.815;6.119;6.580;6.621;7.333;7.439;7.468;7.208
TR;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;TR;5.048;5.176;5.184;5.168;5.486;5.739;5.595;5.451;5.613;5.356;5.495;5.714;5.731;6.392;6.263;6.149;6.013;6.002
;A;PPS_KGOE;TR;6.837;7.208;6.895;6.713;7.434;7.948;8.176;8.330;8.923;8.404;9.122;9.638;9.854;10.817;11.071;11.354;10.808;10.554
UK;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;UK;6.700;6.864;7.141;7.243;7.471;7.655;7.958;8.433;8.493;8.776;8.575;9.363;9.326;9.672;10.531;10.572;10.921;11.317
;A;PPS_KGOE;UK;5.757;5.978;6.328;6.429;6.859;7.042;7.449;7.916;7.953;7.944;8.016;8.747;8.920;9.244;10.225;10.601;10.725;11.144
XK;;;;;;;;;;;;;;;;;;;;;
;A;EUR_KGOE;XK;: ;: ;: ;: ;: ;: ;: ;: ;1.853;1.733;1.749;1.808;1.982;2.113;2.231;2.040;1.982;2.174
