freq;nrg_bal;siec;unit;geo\TIME_PERIOD;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
A;NRGSUP;C0000X0350-0370;KTOE;AL;12.695;12.695;16.457;100.500;110.900;138.974;77.225;67.005;86.449;95.081;50.729;115.975
A;NRGSUP;C0350-0370;KTOE;AL;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;E7000;KTOE;AL;52.537;243.164;209.286;120.292;-81.599;280.482;218.229;199.742;263.715;120.292;-3.611;250.613
A;NRGSUP;G3000;KTOE;AL;9.007;14.402;7.201;7.352;11.565;12.016;13.220;14.574;24.828;27.365;34.965;37.430
A;NRGSUP;H8000;KTOE;AL;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;N900H;KTOE;AL;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;O4000XBIO;KTOE;AL;1362.588;1305.710;1332.408;1259.773;1231.505;1218.293;1069.312;1250.652;1334.478;1200.549;1231.885;1310.071
A;NRGSUP;P1000;KTOE;AL;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;RA000;KTOE;AL;699.283;461.039;547.989;663.839;862.358;575.002;624.582;811.751;637.643;753.850;930.326;646.725
A;NRGSUP;S2000;KTOE;AL;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;TOTAL;KTOE;AL;2136.110;2037.011;2113.341;2151.756;2134.728;2224.767;2002.568;2343.725;2347.112;2197.137;2244.294;2360.814
A;NRGSUP;W6100_6220;KTOE;AL;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;C0000X0350-0370;KTOE;AT;3976.739;3854.748;3814.411;2865.515;3375.436;3474.595;3235.273;3319.285;3031.339;3197.506;2970.074;3079.952
A;NRGSUP;C0350-0370;KTOE;AT;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;E7000;KTOE;AT;545.522;517.317;418.034;67.084;209.512;705.018;241.012;625.147;797.483;865.135;615.587;562.847
A;NRGSUP;G3000;KTOE;AT;7570.119;7133.156;7544.577;7370.375;8122.937;7666.544;7326.589;7060.521;6444.437;6871.580;7117.637;7776.432
A;NRGSUP;H8000;KTOE;AT;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;N900H;KTOE;AT;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;O4000XBIO;KTOE;AT;13704.070;13084.512;12695.923;12008.854;12350.491;11525.244;11282.639;11593.649;11235.975;11294.953;11494.625;11573.965
A;NRGSUP;P1000;KTOE;AT;210;198;198;198;210;210;210;210;210;210;0;0
A;NRGSUP;RA000;KTOE;AT;7383.607;7915.672;8255.535;8742.341;9007.708;8591.317;9722.908;10026.735;10001.869;9815.267;10039.490;9943.326
A;NRGSUP;S2000;KTOE;AT;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;TOTAL;KTOE;AT;33683.222;33005.248;33257.091;31617.358;33681.526;32668.274;32484.984;33303.023;32229.478;32792.373;32994.958;33686.480
A;NRGSUP;W6100_6220;KTOE;AT;502.954;499.644;528.413;562.991;615.233;705.346;676.352;677.476;718.166;747.722;757.545;749.958
A;NRGSUP;C0000X0350-0370;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;3657.915;3615.414;4111.803;4188.714
A;NRGSUP;C0350-0370;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;0;0;0;0
A;NRGSUP;E7000;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;-243.852;-183.577;-323.044;-158.298
A;NRGSUP;G3000;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;151.827;177.429;184.695;199.742
A;NRGSUP;H8000;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;0;0;0;0
A;NRGSUP;N900H;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;0;0;0;0
A;NRGSUP;O4000XBIO;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;1474.343;1526.426;1730.180;1721.737
A;NRGSUP;P1000;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;0;0;0;0
A;NRGSUP;RA000;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;958.190;1041.072;1052.991;792.069
A;NRGSUP;S2000;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;0;0;0;0
A;NRGSUP;TOTAL;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;5998.422;6176.764;6756.626;6743.965
A;NRGSUP;W6100_6220;KTOE;BA;: ;: ;: ;: ;: ;: ;: ;: ;0;0;0;0
A;NRGSUP;C0000X0350-0370;KTOE;BE;4952.225;4418.245;4557.985;3135.275;3787.179;3505.124;3235.666;3457.134;3324.709;3356.235;3166.753;3080.636
A;NRGSUP;C0350-0370;KTOE;BE;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;E7000;KTOE;BE;873.345;582.889;911.178;-157.782;47.377;218.143;854.342;828.891;1513.586;1805.589;531.642;517.764
A;NRGSUP;G3000;KTOE;BE;15060.082;14978.375;14839.531;15066.058;16746.174;14401.978;14378.375;14485.340;12698.130;13974.678;14299.957;14485.993
A;NRGSUP;H8000;KTOE;BE;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;N900H;KTOE;BE;12032.244;12440.327;11754.428;12304.000;12492.000;12567.000;10499.000;11111.000;8781.000;6801.000;11340.000;11002.000
A;NRGSUP;O4000XBIO;KTOE;BE;22300.992;21432.585;23168.785;22272.946;23134.751;21378.289;20374.100;21367.944;21997.468;21983.434;21443.069;21216.025
A;NRGSUP;P1000;KTOE;BE;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;RA000;KTOE;BE;1364.670;1590.688;1910.169;2268.201;2851.642;3140.945;3392.578;3537.279;3434.266;3706.961;3955.153;4091.133
A;NRGSUP;S2000;KTOE;BE;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;TOTAL;KTOE;BE;57184.638;56066.711;57792.286;55600.961;59797.324;55961.860;53446.347;55471.164;52427.982;52308.441;55417.571;55048.171
A;NRGSUP;W6100_6220;KTOE;BE;601.080;623.603;650.210;712.262;738.201;750.382;712.286;683.577;678.824;680.544;680.997;654.619
A;NRGSUP;C0000X0350-0370;KTOE;BG;6980.290;7884.042;7485.047;6415.859;6938.197;8093.680;6915.000;5946.623;6357.280;6607.404;5698.588;6122.761
A;NRGSUP;C0350-0370;KTOE;BG;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;E7000;KTOE;BG;-665.778;-384.781;-459.501;-436.199;-726.225;-916.681;-714.359;-531.470;-812.984;-909.286;-547.893;-471.227
A;NRGSUP;G3000;KTOE;BG;2900.602;3010.426;2914.209;2160.727;2300.365;2630.267;2451.161;2397.743;2362.597;2594.755;2686.522;2762.242
A;NRGSUP;H8000;KTOE;BG;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;N900H;KTOE;BG;5070.206;3838.406;4131.556;3877.900;3849.100;4105.100;4020.200;3667.600;4046.700;3912.000;4010.900;3940.700
A;NRGSUP;O4000XBIO;KTOE;BG;5005.099;4770.638;4666.743;4215.183;3841.124;3639.068;3851.628;3505.986;3844.936;4166.890;4139.850;4318.874
A;NRGSUP;P1000;KTOE;BG;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;RA000;KTOE;BG;1163.064;986.293;1089.754;1143.466;1494.265;1405.201;1674.081;1878.577;1853.359;2066.661;2028.554;1951.901
A;NRGSUP;S2000;KTOE;BG;0;0;0;0;0;0;0;0;0;0;0;0
A;NRGSUP;TOTAL;KTOE;BG;20512.693;20172.594;19830.889;17382.763;17705.233;18964.874;18204.303;16872.749;17674.602;18468.255;18048.048;18660.371
A;NRGSUP;W6100_6220;KTOE;BG;59.210;67.570;3.081;5.828;8.407;8.240;6.592;7.691;22.714;29.832;31.528;35.120
A;NRGSUP;C0000X0350-0370;KTOE;CY;38.810;33.315;28.069;14.559;16.779;7.460;124;124;2.218;3.679;0;2.980
A;NRGSUP;C0350-0370;KTOE;CY;0;0;0;0;0;0;0;0;0;0;0;0
