"TIME","GEO","NRG_BAL","SIEC","UNIT","Value","Flag and Footnotes"
"2008","European Union - 28 countries","Inland consumption - calculated","Geothermal","Terajoule","235 262.865",""
"2008","European Union - 28 countries","Inland consumption - calculated","Solar thermal","Terajoule","46 004.286",""
"2008","European Union - 28 countries","Inland consumption - calculated","Primary solid biofuels","Terajoule","3 268 114.691",""
"2008","European Union - 28 countries","Inland consumption - calculated","Biogases","Terajoule","280 015.181",""
"2008","European Union - 28 countries","Inland consumption - calculated","Renewable municipal waste","Terajoule","303 233.213",""
"2008","Euro area (19 countries)","Inland consumption - calculated","Geothermal","Terajoule","227 889.865",""
"2008","Euro area (19 countries)","Inland consumption - calculated","Solar thermal","Terajoule","43 268.286",""
"2008","Euro area (19 countries)","Inland consumption - calculated","Primary solid biofuels","Terajoule","2 168 701.691",""
"2008","Euro area (19 countries)","Inland consumption - calculated","Biogases","Terajoule","195 328.181",""
"2008","Euro area (19 countries)","Inland consumption - calculated","Renewable municipal waste","Terajoule","233 432.213",""
"2008","Belgium","Inland consumption - calculated","Geothermal","Terajoule","145.000",""
"2008","Belgium","Inland consumption - calculated","Solar thermal","Terajoule","245.000",""
"2008","Belgium","Inland consumption - calculated","Primary solid biofuels","Terajoule","61 608.000",""
"2008","Belgium","Inland consumption - calculated","Biogases","Terajoule","3 590.000",""
"2008","Belgium","Inland consumption - calculated","Renewable municipal waste","Terajoule","8 476.000",""
"2008","Bulgaria","Inland consumption - calculated","Geothermal","Terajoule","1 368.000",""
"2008","Bulgaria","Inland consumption - calculated","Solar thermal","Terajoule",":",""
"2008","Bulgaria","Inland consumption - calculated","Primary solid biofuels","Terajoule","32 451.000",""
"2008","Bulgaria","Inland consumption - calculated","Biogases","Terajoule",":",""
"2008","Bulgaria","Inland consumption - calculated","Renewable municipal waste","Terajoule","133.000",""
"2008","Czechia","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2008","Czechia","Inland consumption - calculated","Solar thermal","Terajoule","204.000",""
"2008","Czechia","Inland consumption - calculated","Primary solid biofuels","Terajoule","86 350.000",""
"2008","Czechia","Inland consumption - calculated","Biogases","Terajoule","3 770.000",""
"2008","Czechia","Inland consumption - calculated","Renewable municipal waste","Terajoule","2 404.000",""
